2024 Presidential General Election Mail-in Voting,,,Report Date: 12/11/2024,,,,,,,,
County,,Ballots Sent,Ballots Received,,Ballots Accepted,,Ballots Rejected,,,,
Allegany,,"6,353","5,638",88.75%,"5,617",99.63%,21,,0.37%,,
Anne Arundel,,"92,416","84,041",90.94%,"83,760",99.67%,281,,0.33%,,
Baltimore City,,"74,588","61,988",83.11%,"61,686",99.51%,302,,0.49%,,
Baltimore County,,"126,743","109,424",86.33%,"109,040",99.65%,384,,0.35%,,
Calvert,,"14,161","12,629",89.18%,"12,584",99.64%,45,,0.36%,,
Caroline,,"2,440","2,171",88.98%,"2,168",99.86%,3,,0.14%,,
Carroll,,"23,619","21,095",89.31%,"21,049",99.78%,46,,0.22%,,
Cecil,,"10,777","9,500",88.15%,"9,473",99.72%,27,,0.28%,,
Charles,,"21,567","18,772",87.04%,"18,723",99.74%,49,,0.26%,,
Dorchester,,"3,340","3,045",91.17%,"3,027",99.41%,18,,0.59%,,
Frederick,,"41,666","36,874",88.50%,"36,767",99.71%,107,,0.29%,,
Garrett,,"2,764","2,472",89.44%,"2,464",99.68%,8,,0.32%,,
Harford,,"31,391","27,683",88.19%,"27,595",99.68%,88,,0.32%,,
Howard,,"55,780","48,873",87.62%,"48,668",99.58%,205,,0.42%,,
Kent,,"2,602","2,306",88.62%,"2,302",99.83%,4,,0.17%,,
Montgomery,,"192,000","167,065",87.01%,"165,925",99.32%,"1,140",,0.68%,,
Prince George's,,"115,791","99,231",85.70%,"98,536",99.30%,695,,0.70%,,
Queen Anne's,,"6,521","5,754",88.24%,"5,735",99.67%,19,,0.33%,,
Saint Mary's,,"12,596","11,076",87.93%,"11,052",99.78%,24,,0.22%,,
Somerset,,"1,719","1,487",86.50%,"1,481",99.60%,6,,0.40%,,
Talbot,,"6,060","5,385",88.86%,"5,368",99.68%,17,,0.32%,,
Washington,,"16,480","14,431",87.57%,"14,413",99.88%,18,,0.12%,,
Wicomico,,"9,893","8,602",86.95%,"8,577",99.71%,25,,0.29%,,
Worcester,,"7,977","6,980",87.50%,"6,961",99.73%,19,,0.27%,,
Statewide,,"879,244","766,522",87.18%,"762,971",99.54%,"3,551",,0.46%,,
"Note:
1. This table shows data for voters who either requested a ballot or were automatically sent a ballot.
2. This table includes Federal Write-in Absentee Ballots (FWABs) received by the local boards of elections but does not include absentee/Vote-By-Mail ballots that were undeliverable to the voter and returned to the local board of elections.",,,,,,,,,,,
Reasons for Rejecting Mail-in Ballots,,,,,,,,,,,
,Board Action,,,,,224,,6.31%,,,
,Identification of DL# or SS# was not timely received,,,,,18,,0.51%,,,
,Identification was received but did not satisfy the identification requirements,,,,,46,,1.30%,,,
,Identifying Mark on Ballot,,,,,43,,1.21%,,,
,Late for election,,,,,"2,006",,56.49%,,,
,No mail-in ballot application,,,,,99,,2.79%,,,
,No signature,,,,,938,,26.42%,,,
,Not registered voter,,,,,60,,1.69%,,,
,Original state mail-in ballot received (FWAB rejected),,,,,41,,1.15%,,,
,Surrendered mail-in ballot at polls,,,,,2,,0.06%,,,
,Voted more than one ballot,,,,,64,,1.80%,,,
,Voter Cancelled,,,,,10,,0.28%,,,
,Total,,,,,"3,551",,,,,
