,,,,,,,,,,,,,,,,,,,,,
,,,Mail-in Ballot Requests by County,,,,,,,,,,,,,,,,,,
,,,,Election: 2024 Presidential Primary Election,,,,,,,,,,,,,,,,,
,,,,,,"As of: June 5, 2024",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
COUNTY,,HOW THE BALLOTS WILL BE DELIVERED,,,,,,,,,,,,,,,,,,,
,,AGENT,,,FAXED,,IN PERSON,MAILED,OTHERS,WEB DELIVERY,TOTAL,,,,,,,,,,
Allegany,,5,,,0,,186,"4,419",1,309,"4,920",,,,,,,,,,
Anne Arundel,,1,,,7,,88,"58,795",5,"9,760","68,656",,,,,,,,,,
Baltimore City,,3,,,4,,41,"49,825",1,"6,988","56,862",,,,,,,,,,
Baltimore County,,6,,,4,,45,"82,511",0,"11,528","94,094",,,,,,,,,,
Calvert,,3,,,0,,46,"9,318",0,"1,152","10,519",,,,,,,,,,
Caroline,,0,,,0,,1,"1,709",0,132,"1,842",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Carroll,,3,,,0,,17,"15,327",2,"1,887","17,236",,,,,,,,,,
Cecil,,4,,,0,,29,"7,151",0,898,"8,082",,,,,,,,,,
Charles,,6,,,0,,82,"13,168",1,"1,740","14,997",,,,,,,,,,
Dorchester,,1,,,0,,22,"2,404",0,178,"2,605",,,,,,,,,,
Frederick,,0,,,0,,16,"26,497",0,"3,723","30,236",,,,,,,,,,
Garrett,,2,,,0,,17,"1,929",2,172,"2,122",,,,,,,,,,
Harford,,5,,,1,,41,"20,248",2,"2,460","22,757",,,,,,,,,,
Howard,,7,,,0,,66,"33,587",2,"6,341","40,003",,,,,,,,,,
Kent,,0,,,0,,13,"1,911",0,161,"2,085",,,,,,,,,,
Montgomery,,16,,,13,,"1,143","113,022",15,"20,485","134,694",,,,,,,,,,
Prince George's,,30,,,5,,244,"72,137",5,"9,336","81,757",,,,,,,,,,
Queen Anne's,,0,,,0,,2,"4,125",1,569,"4,697",,,,,,,,,,
Saint Mary's,,5,,,0,,123,"7,926",0,937,"8,991",,,,,,,,,,
Somerset,,0,,,0,,4,"1,267",0,78,"1,349",,,,,,,,,,
Talbot,,7,,,2,,54,"4,031",0,523,"4,617",,,,,,,,,,
Washington,,0,,,1,,34,"11,449",0,"1,013","12,497",,,,,,,,,,
Wicomico,,0,,,0,,73,"6,489",1,557,"7,120",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Worcester,,0,,,0,,30,"5,340",0,583,"5,953",,,,,,,,,,
TOTAL,,104,,,37,,"2,417","554,585",38,"81,510","638,691",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
