LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,6,01C,001-000,DEMOCRATIC,37,11,19,0,88
Allegany,6,01C,001-000,GREEN,0,0,0,0,0
Allegany,6,01C,001-000,LIBERTARIAN,2,0,0,0,7
Allegany,6,01C,001-000,NO LABELS MARYLAND,1,0,0,0,1
Allegany,6,01C,001-000,OTHER PARTIES,2,0,0,0,6
Allegany,6,01C,001-000,REPUBLICAN,277,48,31,4,422
Allegany,6,01C,001-000,UNAFFILIATED,48,12,6,1,105
Allegany,6,01C,002-000,DEMOCRATIC,35,13,20,1,113
Allegany,6,01C,002-000,GREEN,0,0,0,0,1
Allegany,6,01C,002-000,LIBERTARIAN,0,0,0,0,3
Allegany,6,01C,002-000,NO LABELS MARYLAND,0,0,0,0,0
Allegany,6,01C,002-000,OTHER PARTIES,6,0,1,1,12
Allegany,6,01C,002-000,REPUBLICAN,263,76,38,14,468
Allegany,6,01C,002-000,UNAFFILIATED,61,16,9,5,145
Allegany,6,01C,003-000,DEMOCRATIC,27,18,19,5,93
Allegany,6,01C,003-000,GREEN,0,0,0,0,0
Allegany,6,01C,003-000,LIBERTARIAN,1,0,0,0,1
Allegany,6,01C,003-000,NO LABELS MARYLAND,1,0,0,0,1
Allegany,6,01C,003-000,OTHER PARTIES,3,1,0,0,7
Allegany,6,01C,003-000,REPUBLICAN,280,84,38,16,476
Allegany,6,01C,003-000,UNAFFILIATED,65,18,5,6,134
Allegany,6,01B,004-000,DEMOCRATIC,417,257,351,37,1536
Allegany,6,01B,004-000,GREEN,2,0,0,0,13
Allegany,6,01B,004-000,LIBERTARIAN,16,3,1,0,35
Allegany,6,01B,004-000,NO LABELS MARYLAND,5,3,2,1,15
Allegany,6,01B,004-000,OTHER PARTIES,19,7,6,2,84
Allegany,6,01B,004-000,REPUBLICAN,791,516,255,54,2131
Allegany,6,01B,004-000,UNAFFILIATED,324,119,97,34,1169
Allegany,6,01B,005-000,DEMOCRATIC,144,64,97,17,452
Allegany,6,01B,005-000,GREEN,0,0,0,0,0
Allegany,6,01B,005-000,LIBERTARIAN,3,1,0,0,14
Allegany,6,01B,005-000,NO LABELS MARYLAND,1,0,0,0,7
Allegany,6,01B,005-000,OTHER PARTIES,6,7,0,3,30
Allegany,6,01B,005-000,REPUBLICAN,292,172,75,15,695
Allegany,6,01B,005-000,UNAFFILIATED,129,41,25,14,352
Allegany,6,01B,006-005,DEMOCRATIC,265,222,269,26,1015
Allegany,6,01B,006-005,GREEN,0,1,2,0,8
Allegany,6,01B,006-005,LIBERTARIAN,5,2,1,0,21
Allegany,6,01B,006-005,NO LABELS MARYLAND,0,0,1,0,3
Allegany,6,01B,006-005,OTHER PARTIES,3,5,2,0,23
Allegany,6,01B,006-005,REPUBLICAN,338,304,137,21,1014
Allegany,6,01B,006-005,UNAFFILIATED,194,94,84,17,627
Allegany,6,01B,006-006,DEMOCRATIC,135,46,73,1,359
Allegany,6,01B,006-006,GREEN,2,0,0,0,2
Allegany,6,01B,006-006,LIBERTARIAN,2,2,2,0,12
Allegany,6,01B,006-006,NO LABELS MARYLAND,0,0,0,0,0
Allegany,6,01B,006-006,OTHER PARTIES,4,7,1,0,22
Allegany,6,01B,006-006,REPUBLICAN,323,166,70,9,732
Allegany,6,01B,006-006,UNAFFILIATED,76,30,16,2,256
Allegany,6,01B,007-001,DEMOCRATIC,131,43,76,11,350
Allegany,6,01B,007-001,GREEN,0,0,0,0,1
Allegany,6,01B,007-001,LIBERTARIAN,5,0,0,0,10
Allegany,6,01B,007-001,NO LABELS MARYLAND,0,0,0,0,1
Allegany,6,01B,007-001,OTHER PARTIES,3,1,1,0,12
Allegany,6,01B,007-001,REPUBLICAN,420,181,65,20,844
Allegany,6,01B,007-001,UNAFFILIATED,119,30,24,4,279
Allegany,6,01A,007-002,DEMOCRATIC,156,51,76,4,369
Allegany,6,01A,007-002,GREEN,1,1,0,0,3
Allegany,6,01A,007-002,LIBERTARIAN,2,0,0,0,6
Allegany,6,01A,007-002,NO LABELS MARYLAND,0,0,0,0,0
Allegany,6,01A,007-002,OTHER PARTIES,5,5,0,0,16
Allegany,6,01A,007-002,REPUBLICAN,532,158,55,14,903
Allegany,6,01A,007-002,UNAFFILIATED,118,27,20,4,264
Allegany,6,01A,008-000,DEMOCRATIC,145,25,82,4,392
Allegany,6,01A,008-000,GREEN,0,0,0,0,1
Allegany,6,01A,008-000,LIBERTARIAN,3,1,0,0,4
Allegany,6,01A,008-000,NO LABELS MARYLAND,0,0,0,1,2
Allegany,6,01A,008-000,OTHER PARTIES,5,1,2,0,16
Allegany,6,01A,008-000,REPUBLICAN,670,146,108,15,1204
Allegany,6,01A,008-000,UNAFFILIATED,164,20,33,9,433
