zip,calls,total_calls,pct_calls
20707,1,659,0.2
20814,10,659,1.5
20815,6,659,0.9
20816,4,659,0.6
20817,18,659,2.7
20832,2,659,0.3
20833,1,659,0.2
20837,2,659,0.3
20841,3,659,0.5
20850,43,659,6.5
20851,6,659,0.9
20852,56,659,8.5
20853,20,659,3
20854,8,659,1.2
20855,12,659,1.8
20860,2,659,0.3
20861,1,659,0.2
20866,5,659,0.8
20871,14,659,2.1
20872,8,659,1.2
20874,62,659,9.4
20876,22,659,3.3
20877,50,659,7.6
20878,43,659,6.5
20879,20,659,3
20882,8,659,1.2
20886,25,659,3.8
20889,1,659,0.2
20895,14,659,2.1
20901,19,659,2.9
20902,40,659,6.1
20903,6,659,0.9
20904,40,659,6.1
20905,4,659,0.6
20906,51,659,7.7
20910,31,659,4.7
21794,1,659,0.2
